Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
469,Stephane Omeonga,BEL,MF,Genoa,22,1996,3,57,19,1.7,0.6,0,,0,3,19,12,0.00,0,5,-5,-7.89,-7.55,0.2,1.3,-1.1,-1.72,-1.58
470,Nicholas Opoku,GHA,DF,Udinese,20,1997,12,910,76,26.6,10.1,9,87,7,3,41,2,1.25,10,16,-6,-0.59,-0.31,11.1,17.0,-5.8,-0.58,-0.17
471,Riccardo Orsolini,ITA,FW|MF,Bologna,21,1997,35,1964,56,57.4,21.8,19,83,12,16,25,1,1.14,39,31,+8,+0.37,+1.36,31.5,25.5,+6.0,+0.28,+0.79
472,David Ospina,COL,GK,Napoli,29,1988,17,1457,86,42.6,16.2,16,87,15,1,64,16,1.82,25,20,+5,+0.31,-1.20,25.1,16.3,+8.8,+0.55,-0.13
473,Adam Ounas,ALG,MF|FW,Napoli,21,1996,18,538,30,15.7,6.0,6,62,0,12,14,11,2.06,9,4,+5,+0.84,-0.19,9.0,4.6,+4.4,+0.74,+0.14
474,Daniele Padelli,ITA,GK,Inter,32,1985,0,,,,,0,,0,0,,38,,,,,,,,,,,
475,Simone Padoin,ITA,DF|MF,Cagliari,34,1984,30,1915,64,56.0,21.3,22,82,15,8,14,7,1.20,20,33,-13,-0.61,-0.31,25.6,35.1,-9.5,-0.45,+0.18
476,Luca Paganini,ITA,DF|MF,Frosinone,25,1993,14,1123,80,32.8,12.5,12,90,12,2,22,3,0.64,10,18,-8,-0.64,+0.61,15.0,19.0,-4.0,-0.32,+0.42
477,Marko Pajač,CRO,FW|DF,Empoli,25,1993,10,738,74,21.6,8.2,9,80,4,1,17,5,1.50,15,10,+5,+0.61,+1.42,13.6,14.1,-0.5,-0.06,+0.30
478,Marko Pajač,CRO,DF,Cagliari,25,1993,3,100,33,2.9,1.1,0,,0,3,33,17,0.33,3,1,+2,+1.80,+2.34,2.2,1.8,+0.5,+0.41,+0.96
479,Rodrigo Palacio,ARG,FW,Bologna,36,1982,28,2329,83,68.1,25.9,26,87,18,2,31,1,1.32,38,36,+2,+0.08,+0.90,35.4,31.5,+3.9,+0.15,+0.66
480,Alberto Paloschi,ITA,FW,SPAL,28,1990,23,863,38,25.2,9.6,8,84,5,15,13,14,0.70,10,15,-5,-0.52,-0.28,11.3,16.2,-4.9,-0.51,-0.43
481,Goran Pandev,MKD,FW|MF,Genoa,35,1983,26,1122,43,32.8,12.5,12,69,3,14,21,10,1.04,18,18,0,0.00,+0.70,18.2,17.6,+0.7,+0.05,+0.33
482,Pier Paolo Salvati,ITA,GK,Frosinone,16,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
