Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
325,Tyrone Mings,ENG,DF,Aston Villa,27,1993,35.5,6,1,1,21,18,3,5,41,16,0,0,1,209,90,35,72.0
326,Tyrick Mitchell,ENG,DF,Crystal Palace,20,1999,19.0,1,0,0,8,11,0,27,21,35,0,1,0,95,11,15,42.3
327,Aleksandar Mitrović,SRB,FW,Fulham,25,1994,15.6,3,0,0,22,23,3,4,3,4,0,1,0,31,71,73,49.3
328,Jakub Moder,POL,DF|MF,Brighton,21,1999,7.2,0,0,0,12,3,2,11,3,7,0,0,0,35,7,12,36.8
329,Jayson Molumby,IRL,MF,Brighton,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
330,Wesley Moraes,BRA,FW,Aston Villa,23,1996,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0
331,Wes Morgan,JAM,DF,Leicester City,36,1984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
332,Mason Mount,ENG,MF,Chelsea,21,1999,32.1,2,0,0,50,44,4,170,31,35,2,0,0,157,21,36,36.8
333,Lucas Moura,BRA,FW|MF,Tottenham,27,1992,15.7,1,0,0,23,47,3,26,18,16,0,0,0,79,23,41,35.9
334,Lys Mousset,FRA,FW|MF,Sheffield Utd,24,1996,3.3,0,0,0,7,2,4,1,0,0,0,0,0,5,4,10,28.6
335,João Moutinho,POR,MF,Wolves,33,1986,28.1,5,1,1,44,23,0,116,47,40,0,1,0,182,18,19,48.6
336,Joel Mumbongo,SWE,FW,Burnley,21,1999,0.4,1,0,0,1,2,1,0,0,0,0,0,0,2,0,2,0.0
337,Jacob Murphy,ENG,DF|MF,Newcastle Utd,25,1995,18.1,3,0,0,23,23,2,59,14,24,0,0,0,99,5,20,20.0
338,Shkodran Mustafi,GER,DF,Arsenal,28,1992,0.5,0,0,0,1,0,0,0,0,1,0,0,0,3,3,0,100.0
339,Marvelous Nakamba,ZIM,MF,Aston Villa,26,1994,8.3,3,0,0,8,10,0,1,17,14,0,0,0,58,6,8,42.9
340,Iliman Ndiaye,SEN,MF,Sheffield Utd,20,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
341,Wilfred Ndidi,NGA,MF|DF,Leicester City,23,1996,24.2,6,0,0,54,16,0,5,61,63,0,1,0,227,56,31,64.4
342,Tanguy Ndombele,FRA,MF,Tottenham,23,1996,23.2,3,0,0,26,61,0,7,19,20,0,0,0,122,10,18,35.7
343,Reiss Nelson,ENG,FW|MF,Arsenal,20,1999,0.8,0,0,0,2,1,0,11,1,0,0,0,0,5,0,0,
344,Pedro Neto,POR,FW|MF,Wolves,20,2000,28.3,4,0,0,24,42,4,205,31,9,0,0,0,128,19,32,37.3
345,Rúben Neves,POR,MF,Wolves,23,1997,29.7,8,0,0,46,17,0,23,65,46,0,0,0,223,25,24,51.0
346,Eddie Nketiah,ENG,FW,Arsenal,21,1999,4.7,0,0,0,10,11,0,2,0,1,0,0,0,12,7,16,30.4
347,Niels Nkounkou,FRA,DF|FW,Everton,19,2000,0.9,1,0,0,1,0,0,4,0,3,0,0,0,3,0,0,
348,Dan Nlundulu,ENG,FW|MF,Southampton,21,1999,1.2,0,0,0,6,0,1,0,0,0,0,0,0,2,5,7,41.7
349,Mark Noble,ENG,MF,West Ham,33,1987,7.9,1,0,0,9,8,1,7,13,4,0,0,0,52,3,2,60.0
350,Will Norris,ENG,GK,Burnley,26,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
351,Oliver Norwood,NIR,MF,Sheffield Utd,29,1991,24.7,6,0,0,26,8,0,114,36,22,0,0,0,182,15,17,46.9
352,Jack O'Connell,ENG,DF,Sheffield Utd,26,1994,2.0,0,0,0,0,0,1,1,2,1,0,0,0,8,5,10,33.3
353,Dara O'Shea,IRL,DF,West Brom,21,1999,23.4,3,0,0,13,17,0,11,45,25,0,1,0,101,70,42,62.5
354,Michael Obafemi,IRL,FW,Southampton,20,2000,0.7,0,0,0,1,3,0,1,0,0,0,0,0,4,0,4,0.0
355,Denis Odoi,GHA,DF,Fulham,32,1988,3.0,1,0,0,7,4,1,5,5,3,0,0,0,19,6,5,54.5
356,Angelo Ogbonna,ITA,DF,West Ham,32,1988,27.7,5,0,0,28,9,1,3,30,13,0,0,0,125,63,46,57.8
